row_type,preset_id,case_family,label_hint,source_label,feature,value,dataset_min,dataset_max,percentile,model_probability_malignant,source_url,selection_reason,image_id,patient_id,magnification,relative_path,stratum_median_probability,distance_to_median,tabular_preset_id,image_preset_id,fusion_case_type,tabular_probability_malignant,image_probability_malignant
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.radius_mean,12.1,6.981,28.11,31.45869947275923,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.texture_mean,17.9,9.71,39.28,39.894551845342704,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.perimeter_mean,78.1,43.79,188.5,31.985940246045697,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.area_mean,462.8,143.5,2501.0,33.391915641476274,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.smoothness_mean,0.092,0.05263,0.1634,40.421792618629176,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.compactness_mean,0.08,0.01938,0.3454,40.24604569420035,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.concavity_mean,0.046,0.0,0.4268,40.77328646748682,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.concave_pts_mean,0.025,0.0,0.2012,34.797891036906854,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.symmetry_mean,0.181,0.106,0.304,53.427065026362044,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.fractal_dim_mean,0.062,0.04996,0.09744,52.899824253075565,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.radius_se,0.28,0.1115,2.873,40.070298769771526,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.texture_se,1.21,0.3602,4.885,57.64499121265377,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.perimeter_se,2.05,0.757,21.98,40.597539543058,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.area_se,20.4,6.802,542.2,36.37961335676626,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.smoothness_se,0.006,0.001713,0.03113,43.23374340949033,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
tabular_feature,tabular-typical-benign,tabular,benign,Typical Benign Tumour,x.compactness_se,0.02,0.002252,0.1354,48.50615114235501,0.1606396734714508,https://breascope-ai.vercel.app/,Exact profile copied from the deployed BreaScope AI preset set and validated against Wisconsin feature ranges.,,,,,,,,,,,
